RecipeID,Group,Name,SizeCode,Ingredient,Detail,Amount,Unit,Grams,Instructions
RCP001A,White,Basic White Bread,A,water,Room Temperature,1.5,cup,355.5,"1- Put all the ingredients in starting always with the liquids.
2- Press PROG button to select the White program.
3- Press COLOR button to select Crust color.
4- Press SIZE button to select desire loaf size.
5- Press START button to start baking.

NOTE: if you want to delay the process you can press - or + button to delay the process completion."
RCP001A,White,Basic White Bread,A,unsalted butter,"Room Temperature, cut into 1/2 inch pieces",1,tb,14.2,
RCP001A,White,Basic White Bread,A,granulated sugar,,1,tb,12.5,
RCP001A,White,Basic White Bread,A,kosher salt,,1.5,ts,8.55,
RCP001A,White,Basic White Bread,A,flour unbleached,"Unbleach, All-Purpose",4,cup,480,
RCP001A,White,Basic White Bread,A,milk nonfat dry,Nonfat dry,0.25,cup,17,
RCP001A,White,Basic White Bread,A,yeast,"Active dry, Instant or Bread machine",1.5,ts,4.65,
RCP001B,White,Basic White Bread,B,water,Room Temperature,1.13,cup,267.81,"1- Put all the ingredients in starting always with the liquids.
2- Press PROG button to select the White program.
3- Press COLOR button to select Crust color.
4- Press SIZE button to select desire loaf size.
5- Press START button to start baking.

NOTE: if you want to delay the process you can press - or + button to delay the process completion."
RCP001B,White,Basic White Bread,B,unsalted butter,"Room Temperature, cut into 1/2 inch pieces",1,tb,14.2,
RCP001B,White,Basic White Bread,B,granulated sugar,,2.63,ts,11.025,
RCP001B,White,Basic White Bread,B,kosher salt,,1.25,ts,7.125,
RCP001B,White,Basic White Bread,B,flour unbleached,"Unbleach, All-Purpose",3,cup,360,
RCP001B,White,Basic White Bread,B,milk nonfat dry,Nonfat dry,3,tb,12.9,
RCP001B,White,Basic White Bread,B,yeast,"Active dry, Instant or Bread machine",1,ts,3.1,
RCP001C,White,Basic White Bread,C,water,Room Temperature,0.75,cup,177.75,"1- Put all the ingredients in starting always with the liquids.
2- Press PROG button to select the White program.
3- Press COLOR button to select Crust color.
4- Press SIZE button to select desire loaf size.
5- Press START button to start baking.

NOTE: if you want to delay the process you can press - or + button to delay the process completion."
RCP001C,White,Basic White Bread,C,unsalted butter,"Room Temperature, cut into 1/2 inch pieces",1,tb,14.2,
RCP001C,White,Basic White Bread,C,granulated sugar,,1.5,ts,6.3,
RCP001C,White,Basic White Bread,C,kosher salt,,0.75,ts,4.275,
